accession	protein	descr	UF-a	UF-b	UF-c	YEL-a	YEL-b	YEL-c	cluster_number
gi|659917035|emb|CDP49602.1|	c193.a1.a1	gi|659917035|emb|CDP49602.1| ATP binding protein of ABC transporter [Propionibacterium freudenreichii subsp. freudenreichii]	1.28134710750153	0.197206766220216	1.05043643963192	-0.908251238957876	-1.00725082254861	-0.61348825184717	4
gi|659917036|emb|CDP49603.1|	b83.a1.a1	gi|659917036|emb|CDP49603.1| ABC transporter permease [Propionibacterium freudenreichii subsp. freudenreichii]	1.23404693058916	0.538549169934418	0.847827577262788	-0.87114865098194	-1.17413695588138	-0.575138070923044	1
gi|659917039|emb|CDP49606.1|	c337.a1.a1	gi|659917039|emb|CDP49606.1| Shikimate 5-dehydrogenase [Propionibacterium freudenreichii subsp. freudenreichii]	0.534692447995855	-0.590077272147357	-0.811272833268923	-1.21223965548469	1.2360665445241	0.84283076838102	2
gi|659917047|emb|CDP49562.1|	c362.a1.a1	gi|659917047|emb|CDP49562.1| sugar transporter [Propionibacterium freudenreichii subsp. freudenreichii]	0.805106644808798	-1.6392894785805	-0.790627702637328	0.72180545257601	0.216205995363191	0.68679908846982	2
gi|659917053|emb|CDP49568.1|	c391.a1.a1	gi|659917053|emb|CDP49568.1| Polyphosphate glucokinase [Propionibacterium freudenreichii subsp. freudenreichii]	-1.18028354321697	-0.331325406997815	-0.566844792579721	-0.221936535239341	1.64044388817587	0.659946389857974	5
gi|659917054|emb|CDP49569.1|	c166.a1.a1	gi|659917054|emb|CDP49569.1| ABC transporter, binding lipoprotein [Propionibacterium freudenreichii subsp. freudenreichii]	0.913464366785862	0.933819881164449	0.875918549312466	-1.0617365418786	-0.927713620252156	-0.733752635132018	1
gi|659917060|emb|CDP49575.1|	c207.a1.a1	gi|659917060|emb|CDP49575.1| Hypothetical secreted protein [Propionibacterium freudenreichii subsp. freudenreichii]	-0.403093410446724	0.443405736023969	-1.34532191939844	1.61780254393876	0.130667283455988	-0.443460233573541	6
gi|659917078|emb|CDP49531.1|	c325.a1.a1	gi|659917078|emb|CDP49531.1| Putative purine phosphoribosyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]	-0.708063754243784	0.559029463353654	-1.63989059112895	0.075329012843884	0.964061084252986	0.749534784922209	5
gi|659917082|emb|CDP49535.1|	b37.a1.a1	gi|659917082|emb|CDP49535.1| cysteine synthase 2 [Propionibacterium freudenreichii subsp. freudenreichii]	0.814281629562303	-0.841507856605402	0.0400118606055786	-1.53449531955413	1.00036782394433	0.521341862047325	3
gi|659917083|emb|CDP49536.1|	c338.a1.a1	gi|659917083|emb|CDP49536.1| Membrane protease subunits, stomatin/prohibitin homologs (Membrane protease subunit, stomatin/prohibitin homolog) [Propionibacterium freudenreichii subsp. freudenreichii]	1.24828761535843	-0.342728945650842	1.10448638414296	-1.12535923456261	-0.914919263347103	0.0302334440591653	3
gi|659917086|emb|CDP49539.1|	c236.a1.a1	gi|659917086|emb|CDP49539.1| glycine betaine/choline Binding protein of ABC transporter [Propionibacterium freudenreichii subsp. freudenreichii]	-1.07248147867215	-0.71908199749844	-0.550957558794962	1.05503831077416	-0.0935640723881006	1.3810467965795	6
gi|659917091|emb|CDP49544.1|	c239.a1.a1	gi|659917091|emb|CDP49544.1| Carbon starvation protein [Propionibacterium freudenreichii subsp. freudenreichii]	0.011305298845257	-1.37885786004482	-0.872915637790694	0.208071913795161	1.35385938553441	0.678536899660682	2
gi|659917120|emb|CDP49497.1|	a3.a1.a1	gi|659917120|emb|CDP49497.1| internaline A [Propionibacterium freudenreichii subsp. freudenreichii]	1.35500925958548	0.778906782819766	0.471060873407424	-0.897074802763881	-0.664019795238316	-1.0438823178105	1
gi|659917123|emb|CDP49500.1|	c405.a1.a1	gi|659917123|emb|CDP49500.1| Hypothetical protein PFCIRM129_12250 [Propionibacterium freudenreichii subsp. freudenreichii]	-0.640515194001816	-0.333853952206863	1.12384477901149	-1.35555001135515	0.0327604139503418	1.17331396460203	3
gi|659917127|emb|CDP49504.1|	b14.a1.a1	gi|659917127|emb|CDP49504.1| penicillin-binding protein (peptidoglycan glycosyltransferase) [Propionibacterium freudenreichii subsp. freudenreichii]	-0.817574797847225	-0.790625485246118	-1.02070604479014	0.410674519145159	1.24274266592707	0.97548914281127	6
gi|659917133|emb|CDP49510.1|	c185.a1.a1	gi|659917133|emb|CDP49510.1| Cytochrome P450 (Heme-thiolate monooxygenase) [Propionibacterium freudenreichii subsp. freudenreichii]	-0.259723157689206	-1.328733498172	-0.637054956144544	-0.0786931386759716	0.928160665915812	1.37604408476591	2
gi|659917149|emb|CDP49457.1|	c158.a1.a1	gi|659917149|emb|CDP49457.1| Glycerophosphoryl diester phosphodiesterase [Propionibacterium freudenreichii subsp. freudenreichii]	1.68696875541786	-0.615952735849647	0.587405119257404	-1.13462918653998	-0.312549089203445	-0.211242863082194	3
gi|659917150|emb|CDP49458.1|	c261.a1.a1	gi|659917150|emb|CDP49458.1| Membrane protein, Transporter, MFS superfamily [Propionibacterium freudenreichii subsp. freudenreichii]	-0.439365084690108	-1.37339284856019	-0.795912833375981	0.759109632191513	0.941920270462419	0.907640863972349	2
gi|659917162|emb|CDP49470.1|	c334.a1.a1	gi|659917162|emb|CDP49470.1| dehydrogenase/reductase [Propionibacterium freudenreichii subsp. freudenreichii]	1.42557481483168	-1.018433628303	-0.0633481513601744	0.500502310315803	0.390131997674326	-1.23442734315861	4
gi|659917164|emb|CDP49472.1|	c299.a1.a1	gi|659917164|emb|CDP49472.1| ABC-type choline/glycine betaine transport,ATP-binding protein [Propionibacterium freudenreichii subsp. freudenreichii]	-0.0999112398568282	-0.836823065127949	-1.08172027410595	-0.146829589541586	0.468704197971607	1.69657997066072	2
gi|659917186|emb|CDP49452.1|	c222.a1.a1	gi|659917186|emb|CDP49452.1| glycerol-3-phosphate transporter [Propionibacterium freudenreichii subsp. freudenreichii]	-0.159001036351442	-1.21696567552966	-0.941619263928189	0.138245474977901	0.763179778742091	1.41616072208929	2
gi|659917191|emb|CDP49445.1|	c375.a1.a1	gi|659917191|emb|CDP49445.1| Hypothetical protein PFCIRM129_11930 [Propionibacterium freudenreichii subsp. freudenreichii]	1.32266802238424	-0.0213865807368673	0.652345150357385	-1.17436496518257	-1.14520354603341	0.365941919211213	3
gi|659917193|emb|CDP49447.1|	c406.a1.a1	gi|659917193|emb|CDP49447.1| Peptidase Subtilases [Propionibacterium freudenreichii subsp. freudenreichii]	0.564266381617017	-0.133446576200772	1.28805446487903	-1.50577637492088	0.491214931116941	-0.704312826491341	3
gi|659917195|emb|CDP49449.1|	c273.a1.a1	gi|659917195|emb|CDP49449.1| Hypothetical protein PFCIRM129_11950 [Propionibacterium freudenreichii subsp. freudenreichii]	-0.622204329522196	-1.21431051104208	-0.813488574310742	1.18297989503967	0.756179563288566	0.71084395654678	6
gi|659917202|emb|CDP49428.1|	c280.a1.a1	gi|659917202|emb|CDP49428.1| Dihydrodipicolinate synthase [Propionibacterium freudenreichii subsp. freudenreichii]	-0.104839054631333	-0.288175591386705	0.0412559046979065	-1.67149303900885	0.83330218349152	1.18994959683749	2
gi|659917204|emb|CDP49430.1|	b98.a1.a1	gi|659917204|emb|CDP49430.1| Glucose-1-phosphate adenylyltransferase (ADP-glucose synthase) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) [Propionibacterium freudenreichii subsp. freudenreichii]	-0.499280762889995	1.5164675351406	0.845455564426526	-0.193549579075498	-0.443488156183383	-1.22560460141825	1
gi|659917211|emb|CDP49437.1|	c136.a1.a1	gi|659917211|emb|CDP49437.1| 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]	-0.588019888743425	-1.0041161214902	-1.05780911578266	0.544682303204489	1.13712612009171	0.968136702720115	2
gi|659917212|emb|CDP49438.1|	c150.a1.a1	gi|659917212|emb|CDP49438.1| Hypothetical secreted protein [Propionibacterium freudenreichii subsp. freudenreichii]	-1.00815287041074	1.77007394425137	0.342998923540902	-0.834390629121843	-0.132351893120963	-0.138177475138728	1
gi|659917216|emb|CDP49442.1|	b32.a1.a1	gi|659917216|emb|CDP49442.1| Fumarate hydratase, class-II [Propionibacterium freudenreichii subsp. freudenreichii]	1.32769749460695	-0.853219444331306	0.379332021297776	-1.35161733103932	-0.20638074123383	0.704188000699731	3
gi|659917219|emb|CDP49418.1|	b11.a2.a1	gi|659917219|emb|CDP49418.1| Surface protein D with SLH domain [Propionibacterium freudenreichii subsp. freudenreichii]	-0.589262400486466	-1.14154685833189	-0.915744680849779	1.22371338918506	0.73730654747764	0.685534003005444	6
gi|659917223|emb|CDP49422.1|	c262.a1.a1	gi|659917223|emb|CDP49422.1| Hypothetical protein PFCIRM129_11795 [Propionibacterium freudenreichii subsp. freudenreichii]	1.55526635699036	-0.0272243211530596	0.776856352483336	-1.11606728616452	-0.705396902629768	-0.483434199526348	3
gi|659917229|emb|CDP49410.1|	c438.a1.a1	gi|659917229|emb|CDP49410.1| Hypothetical protein PFCIRM129_11735 [Propionibacterium freudenreichii subsp. freudenreichii]	-0.203653328378542	1.57697612832533	-1.1575846869029	0.722433995258231	-0.760354809150226	-0.177817299151863	1
gi|659917235|emb|CDP49416.1|	c331.a1.a1	gi|659917235|emb|CDP49416.1| Hypothetical protein PFCIRM129_11765 [Propionibacterium freudenreichii subsp. freudenreichii]	0.520220960691087	-0.619973958450983	-1.27984981588361	1.29077859824078	0.764458158793093	-0.67563394339035	2
gi|659917238|emb|CDP49407.1|	c339.a1.a1	gi|659917238|emb|CDP49407.1| Hypothetical protein PFCIRM129_11720 [Propionibacterium freudenreichii subsp. freudenreichii]	1.49126192394881	0.0906811933760443	0.778136052572676	-0.448846120442635	-0.696241936020068	-1.21499111343484	4
gi|659917240|emb|CDP49409.1|	b63.a1.a1	gi|659917240|emb|CDP49409.1| Glutamine synthetase [Propionibacterium freudenreichii subsp. freudenreichii]	0.0777740814371235	-1.51197173058291	-0.899581154729173	0.620084009565973	1.00812086027777	0.705573934031205	2
gi|659917259|emb|CDP49392.1|	b47.a1.a1	gi|659917259|emb|CDP49392.1| Hypothetical protein PFCIRM129_11635 [Propionibacterium freudenreichii subsp. freudenreichii]	-0.692997615555177	-1.02840456855877	-0.97820679535919	0.972800574045867	1.04776149484537	0.679046910581901	6
gi|659917264|emb|CDP49397.1|	c174.a1.a1	gi|659917264|emb|CDP49397.1| Anthranilate phosphoribosyltransferase [Propionibacterium freudenreichii subsp. freudenreichii]	-1.65068935502608	1.25915668143665	0.541296607996863	-0.21549367975235	0.450087451905276	-0.384357706560346	5
gi|659917266|emb|CDP49399.1|	b99.a1.a1	gi|659917266|emb|CDP49399.1| Inosine-5-monophosphate dehydrogenase (IMP dehydrogenase) (IMPDH) (IMPD) / GMP reductase [Propionibacterium freudenreichii subsp. freudenreichii]	-0.535965530918786	1.46734801739552	0.510834866343791	-1.48657332615209	0.231694697965777	-0.187338724634205	1
gi|659917270|emb|CDP49403.1|	c104.a1.a1	gi|659917270|emb|CDP49403.1| Phage shock protein A [Propionibacterium freudenreichii subsp. freudenreichii]	-0.769116383359055	-0.743007112794881	-1.06394858695344	1.24235544044466	1.04867420735791	0.285042435304785	6
gi|659917283|emb|CDP49293.1|	c328.a1.a1	gi|659917283|emb|CDP49293.1| Putative uncharacterized protein [Propionibacterium freudenreichii subsp. freudenreichii]	-0.810944182330058	-0.350217548443533	-0.839651741130723	1.77865585875567	0.51506425748658	-0.292906644337936	6
gi|659917284|emb|CDP49294.1|	c274.a1.a1	gi|659917284|emb|CDP49294.1| restriction system protein [Propionibacterium freudenreichii subsp. freudenreichii]	-0.18264412192234	1.49709885043955	-0.769656077051046	-0.428350731075482	-1.04379518337091	0.927347262980251	1
gi|659917285|emb|CDP49295.1|	c157.a1.a1	gi|659917285|emb|CDP49295.1| Type I restriction-modification system DNA methylase [Propionibacterium freudenreichii subsp. freudenreichii]	1.12825034744386	-0.796938298148079	-1.10984178671683	-0.42260298010871	1.29347274837962	-0.0923400308498686	2
gi|659917290|emb|CDP49300.1|	c237.a1.a1	gi|659917290|emb|CDP49300.1| Enoyl-[acyl-carrier-protein] reductase (NADH) [Propionibacterium freudenreichii subsp. freudenreichii]	0.85110782852159	0.827786246945987	1.02682678276631	-1.03359592230011	-0.649393348253718	-1.02273158768004	1
gi|659917299|emb|CDP49309.1|	b69.a1.a1	gi|659917299|emb|CDP49309.1| ABC-type transport system involved in Fe-S cluster assembly, ATPase component, SufC [Propionibacterium freudenreichii subsp. freudenreichii]	0.512045935533126	1.21545242520736	0.933980181146204	-1.0096005818166	-0.778390841792969	-0.873487118277116	1
gi|659917301|emb|CDP49311.1|	c134.a1.a1	gi|659917301|emb|CDP49311.1| FeS assembly protein SufD [Propionibacterium freudenreichii subsp. freudenreichii]	0.884905354397411	0.872640156076534	0.952052587064983	-1.11445859170258	-0.929449563853683	-0.665689941982664	1
gi|659917302|emb|CDP49312.1|	b46.a1.a1	gi|659917302|emb|CDP49312.1| FeS assembly protein SufB [Propionibacterium freudenreichii subsp. freudenreichii]	0.956104420930295	0.399552012381024	0.764001664781532	0.294574552775159	-0.793903203371299	-1.6203294474967	1
gi|659917307|emb|CDP49317.1|	c267.a1.a1	gi|659917307|emb|CDP49317.1| Glutamine amidotransferase subunit pdxT (Glutamine amidotransferase glutaminase subunit pdxT) [Propionibacterium freudenreichii subsp. freudenreichii]	-0.184718265547555	-0.450137910379823	-0.528049380922779	-1.04417238833557	0.41125060395807	1.79582734122765	2
gi|659917315|emb|CDP49325.1|	c206.a1.a1	gi|659917315|emb|CDP49325.1| triosephosphate isomerase 1 [Propionibacterium freudenreichii subsp. freudenreichii]	1.71854268979819	-0.750469191083496	0.314283417221788	-0.856037694296388	0.316443248315411	-0.742762469955501	3
gi|659917316|emb|CDP49326.1|	c119.a1.a1	gi|659917316|emb|CDP49326.1| Phosphoglycerate kinase [Propionibacterium freudenreichii subsp. freudenreichii]	1.66511003639387	-0.446840770154216	0.597091125614454	-1.16561320661516	-0.550133698654914	-0.0996134865840289	3
gi|659917322|emb|CDP49332.1|	c340.a1.a1	gi|659917322|emb|CDP49332.1| Hypothetical protein PFCIRM129_11325 [Propionibacterium freudenreichii subsp. freudenreichii]	-0.59652429290512	0.0608149025126029	-0.389511798961148	0.83453471592313	1.42160278050851	-1.33091630707797	5
gi|659917331|emb|CDP49341.1|	c186.a1.a1	gi|659917331|emb|CDP49341.1| UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A) [Propionibacterium freudenreichii subsp. freudenreichii]	-0.700178899338656	-1.25549178545183	-0.63006726270367	0.466867821777962	0.867426909105427	1.25144321661076	2
gi|659917338|emb|CDP49348.1|	b65.a1.a1	gi|659917338|emb|CDP49348.1| 30S ribosomal protein S1 [Propionibacterium freudenreichii subsp. freudenreichii]	1.10967292432508	0.438025408220928	1.01570583703299	-0.615429876940776	-1.34076060471598	-0.60721368792224	1
gi|659917339|emb|CDP49349.1|	c217.a1.a1	gi|659917339|emb|CDP49349.1| Aldehyde dehydrogenase (Succinate-semialdehyde dehydrogenase) (NAD-dependent aldehyde dehydrogenase) [Propionibacterium freudenreichii subsp. freudenreichii]	1.39401068665443	-0.258914876458411	0.749993639783811	-1.23059999737154	-0.918282904938582	0.263793452330294	3
gi|659917341|emb|CDP49351.1|	b23.a1.a1	gi|659917341|emb|CDP49351.1| Putative DNA polymerase I [Propionibacterium freudenreichii subsp. freudenreichii]	-0.685342648557964	-1.11840415380514	-0.271617340477526	1.75691881611398	0.34393078946844	-0.0254854627417879	6
gi|659917343|emb|CDP49353.1|	b15.a1.a1	gi|659917343|emb|CDP49353.1| Pyruvate kinase 1 [Propionibacterium freudenreichii subsp. freudenreichii]	-0.31840664379045	1.47982393364147	0.960056759360889	-0.783832820901752	-0.295997979074326	-1.04164324923582	1
gi|659917347|emb|CDP49357.1|	b49.a1.a1	gi|659917347|emb|CDP49357.1| Hypothetical protein PFCIRM129_11455 [Propionibacterium freudenreichii subsp. freudenreichii]	1.40674571906786	0.169938846693253	0.887396963152101	-0.978215052727167	-1.01117717385714	-0.47468930232892	4
gi|659917351|emb|CDP49361.1|	b51.a1.a1	gi|659917351|emb|CDP49361.1| Cell division protein FtsZ [Propionibacterium freudenreichii subsp. freudenreichii]	0.413040763576909	1.36589725282355	0.819685549163366	-1.01142224779015	-0.861639794498222	-0.725561523275468	1
gi|659917354|emb|CDP49364.1|	c198.a1.a1	gi|659917354|emb|CDP49364.1| UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase) [Propionibacterium freudenreichii subsp. freudenreichii]	-0.862462031765981	-1.00064882011075	-0.859789082301483	0.762438788691199	1.05962534129041	0.900835804196596	6
gi|659917360|emb|CDP49370.1|	c125.a1.a1	gi|659917360|emb|CDP49370.1| Cell division protein FtsI (penicillin-binding protein 2) (Peptidoglycan glycosyltransferase) [Propionibacterium freudenreichii subsp. freudenreichii]	-1.3188383981236	0.479026472559356	0.169718600147924	-1.12216916269068	1.15788348583405	0.634379002272942	5
gi|659917362|emb|CDP49372.1|	c407.a1.a1	gi|659917362|emb|CDP49372.1| S-adenosyl-L-methionine-dependent methyltransferase mraW [Propionibacterium freudenreichii subsp. freudenreichii]	-1.32341962826364	-0.572465586064602	-0.546500810623448	0.565148989053092	1.45860778706152	0.418629248837083	5
